ОБОРОТНАЯ ВЕДОМОСТЬ ПО РАСЧЕТАМ С КВАРТИРОСЪЕМЩИКАМИ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
№ кв.;№ лицевого счета;ФИО квартиросъемщика;Входящее сальдо;;Начисления постоянные;Начисленные субсидии;Начисления разовые;Оплачено;Оплачено страховки;Оплачено субсидий;Исходящее сальдо;;Просроченная задолженность;Месяц последней оплаты;Дата рождения;место рождения;Серия и номер;Кем выдан;Дата выдачи;Мобильный телефон;E-mail
;;;Дебет;Кредит;;;;;;;Дебет;Кредит;;;;;;;;;
Ленина ул. д.2;;;;;;;;;;;;;;;;;;;;;
1;9000000000;Иванов Иван Иванович;4229,04;0;2870,32;0;98,18;5774,41;0;0;1423,13;0;4229,04;авг.17;20.09.1985;гор.Москва;1111  000000;Федеральной миграционной службой;31.03.1988;+79780000000;info@urrobot.net
2;9000000001;Петров Иван Иванович;0;0,01;1169,77;0;56,81;1226,58;0;0;0;0,01;0;авг.17;31.03.1988;гор.Лобня;1111  000001;"Отдел внутренних дел ""Города Москвы""";30.04.1988;+79780000001;info@urrobot.net
3;9000000002;Сидаров Иван Иванович;0;10,19;2297,52;0;0;2297,52;0;0;0;10,19;0;авг.17;03.02.1985;гор.Москва;1111  000002;Отделением управления по городу Сочи УФМС по Краснодарскому краю;31.05.1988;+79780000002;info@urrobot.net
4;9000000003;Дегтярев Иван Иванович;2020,97;0;2107,86;0;51,11;4230,25;0;0;0;50,31;0;авг.17;04.02.1963;гор.Саратов;1111  000003;Отделом УФМС России  по гор. Саратов;30.06.1988;+79780000003;info@urrobot.net
5;9000000004;Кузнецова Ирина Петровна;1149,87;0;2317,14;0;0;2191,82;0;0;1275,19;0;0;авг.17;03.02.1985;гор.Москва;1111  000004;Отделом внутренних дел  гор. Москвы;31.07.1988;+79780000004;info@urrobot.net
;;;;;;;;;;;;;;;;;;;;;
Кашевого ул. д.3;;;;;;;;;;;;;;;;;;;;;
1;8000000000;Иванов Евгений Сергеевич;5406,14;0;3666,38;0;0;0;0;0;9072,52;0;5406,14;;;;;;;;
2;8000000001;Петров Сергей Александрович;0;502,63;1896,85;0;3,18;1935,48;0;0;0;538,08;0;авг.17;20.09.1985;гор.Ялта;2222  000000;Федеральной миграционной службой;31.03.1999;+79780000000;info@urrobot.net
3;8000000002;Сидаров Анатолий Петрович;9373,64;0;2368,08;0;0;2368,08;60,91;0;9373,64;0;9373,64;авг.17;31.03.1988;гор.Саратов;2222 000001;"Отдел внутренних дел ""Города Москвы""";30.04.2001;+79780000001;info@urrobot.net
4;8000000003;Дегтярев Петр Семенович;675,6;0;2423,82;0;0;2423,82;0;0;675,6;0;675,6;июл.17;03.02.1985;гор.Омск;2222  000002;Отделением управления по городу Сочи УФМС по Краснодарскому краю;31.05.2002;+79780000002;info@urrobot.net
5;8000000004;Кузнецова Ирина Александровна;3549,58;0;1891,38;0;0;2118,21;45,75;0;3322,75;0;1431,37;авг.17;04.02.1963;гор.Краснодар;2222  000003;Отделом УФМС России  по гор. Саратов;30.06.2003;+79780000003;info@urrobot.net
;;;;;;;;;;;;;;;03.02.1985;гор.Сочи;2222  000004;Отделом внутренних дел  гор. Москвы;31.07.2021;+79780000004;info@urrobot.net
